MFF 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
ANB 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
MU 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
KK 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
SA 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
MFF 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
ANB 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
MU 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
SA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
KK 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
AHK 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
AHK 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction.	LogResource
SA 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
 h	LogUser
viewed 	LogAction
course 	LogResource
CS260 Human Computer Interaction.	LogResource
viewed 	LogAction
KK 	LogUser
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
HM 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
HM 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
DA 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction.	LogResource
MFF 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
ANB 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
AUM 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
AUM 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction a	LogResource
HM 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
MA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
MS 	LogAction
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
MA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
MA 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction.	LogResource
AS 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
AS 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
SA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction 	LogResource
KK 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
RA 	LogUser
enrolled 	LogAction
CS260 Human Computer Interaction 	LogResource
RA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
AS 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
HM 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
DA 	LogUser
viewed 	LogAction
course 	LogInformation
CS260 Human Computer Interaction.	LogResource
